x0,x1,x2
266.0,187.0,100.2
263.0,191.0,102.4
260.0,192.0,103.7
254.0,192.0,105.2
248.0,192.0,106.9
244.0,192.0,108.4
242.0,192.0,110.1
240.0,186.0,111.8
240.0,180.0,113.4
240.0,174.0,115.2
240.0,169.0,116.8
246.0,165.0,118.6
250.0,163.0,120.2
254.0,163.0,121.9
257.0,163.0,123.5
260.0,163.0,125.2
262.0,163.0,126.8
262.0,163.0,128.5
262.0,163.0,130.1
262.0,166.0,131.8
262.0,168.0,133.5
262.0,171.0,135.1
262.0,174.0,136.8
262.0,176.0,138.5
262.0,177.0,140.1
259.0,177.0,141.8
257.0,177.0,143.5
255.0,177.0,145.2
253.0,177.0,146.8
253.0,177.0,148.5
253.0,174.0,150.1
253.0,170.0,152.1
253.0,168.0,154.4
253.0,167.0,155.8
253.0,167.0,157.3
256.0,167.0,158.6
258.0,167.0,160.2
260.0,167.0,161.9
262.0,167.0,163.5
264.0,167.0,165.1
264.0,169.0,166.7
264.0,173.0,168.5
264.0,176.0,170.1
264.0,179.0,171.8
264.0,181.0,173.5
264.0,183.0,175.1
264.0,184.0,176.8
264.0,184.0,178.5
264.0,184.0,180.1
264.0,184.0,181.8
264.0,183.0,183.5
264.0,179.0,185.1
264.0,175.0,186.8
264.0,171.0,188.4
264.0,168.0,190.1
264.0,166.0,191.8
270.0,165.0,193.5
274.0,165.0,195.1
279.0,165.0,196.8
285.0,165.0,198.5
287.0,165.0,200.1
288.0,165.0,201.8
288.0,168.0,203.5
288.0,173.0,205.2
288.0,177.0,206.8
288.0,181.0,208.4
288.0,187.0,210.2
288.0,189.0,211.8
286.0,191.0,213.5
282.0,191.0,215.3
276.0,191.0,216.9
272.0,191.0,218.6
271.0,191.0,220.2
270.0,187.0,221.9
270.0,180.0,223.5
270.0,174.0,225.2
270.0,170.0,226.9
271.0,165.0,228.5
279.0,164.0,230.1
286.0,164.0,231.8
293.0,164.0,233.5
295.0,164.0,235.2
297.0,164.0,236.8
297.0,164.0,238.5
297.0,168.0,240.1
297.0,173.0,242.0
297.0,183.0,244.0
297.0,189.0,245.4
291.0,192.0,247.1
285.0,193.0,248.8
279.0,193.0,250.5
275.0,193.0,251.9
273.0,193.0,253.5
272.0,191.0,255.1
272.0,182.0,256.8
272.0,177.0,258.5
272.0,172.0,260.1
276.0,168.0,261.8
283.0,167.0,263.4
289.0,167.0,265.1
293.0,167.0,266.8
297.0,167.0,268.5
299.0,167.0,270.1
299.0,167.0,271.8
299.0,167.0,273.5
299.0,169.0,275.2
299.0,172.0,276.8
299.0,176.0,278.5
296.0,180.0,280.2
290.0,180.0,281.8
285.0,180.0,283.4
280.0,180.0,285.1
278.0,180.0,286.9
277.0,180.0,288.9
277.0,179.0,290.4
277.0,177.0,292.4
277.0,175.0,293.8
277.0,174.0,295.3
277.0,174.0,296.8
277.0,174.0,298.6
277.0,174.0,300.3
277.0,174.0,301.9
277.0,174.0,303.5
277.0,174.0,305.2
277.0,174.0,306.8
277.0,174.0,308.5
277.0,174.0,310.2
277.0,174.0,311.9
277.0,174.0,313.5
277.0,174.0,315.2
277.0,174.0,316.8
277.0,174.0,318.5
277.0,174.0,320.2
277.0,174.0,321.8
278.0,174.0,323.5
285.0,174.0,325.1
302.0,182.0,326.8
313.0,191.0,328.5
328.0,202.0,330.2
355.0,227.0,331.8
374.0,244.0,333.5
391.0,263.0,335.1
411.0,285.0,336.8
437.0,314.0,338.5
450.0,329.0,340.2
460.0,340.0,341.9
470.0,351.0,343.5
473.0,355.0,345.2
475.0,356.0,346.8
476.0,359.0,348.6
476.0,361.0,350.2
476.0,363.0,351.8
476.0,365.0,353.5
476.0,368.0,355.1
476.0,370.0,356.9
476.0,372.0,358.5
476.0,375.0,360.2
476.0,377.0,361.8
476.0,377.0,363.5
473.0,377.0,365.2
463.0,377.0,366.8
457.0,377.0,368.5
452.0,375.0,370.2
449.0,369.0,371.8
448.0,364.0,373.5
448.0,359.0,375.2
448.0,354.0,376.9
448.0,352.0,378.5
448.0,350.0,380.1
448.0,349.0,381.9
455.0,349.0,383.5
458.0,349.0,385.2
460.0,349.0,386.8
461.0,349.0,388.5
461.0,349.0,390.2
461.0,349.0,391.8
461.0,349.0,393.5
461.0,352.0,395.2
461.0,354.0,396.8
456.0,355.0,398.5
450.0,355.0,400.2
448.0,355.0,401.8
445.0,355.0,403.5
444.0,355.0,405.2
444.0,348.0,406.9
444.0,344.0,408.5
444.0,342.0,410.3
449.0,341.0,411.8
456.0,341.0,413.5
459.0,341.0,415.2
462.0,341.0,417.2
463.0,345.0,418.7
463.0,351.0,420.5
463.0,356.0,421.9
463.0,362.0,423.5
463.0,365.0,425.2
463.0,367.0,426.9
462.0,368.0,428.5
455.0,368.0,430.1
451.0,368.0,431.8
447.0,368.0,433.6
444.0,368.0,435.4
444.0,364.0,437.1
444.0,357.0,438.9
444.0,354.0,440.6
444.0,351.0,441.9
445.0,349.0,443.5
450.0,348.0,445.2
457.0,348.0,446.8
459.0,348.0,448.5
460.0,348.0,450.1
460.0,348.0,452.1
460.0,348.0,453.8
460.0,348.0,455.5
460.0,348.0,457.1
460.0,348.0,458.7
460.0,348.0,460.3
460.0,348.0,461.9
460.0,348.0,463.6
460.0,348.0,465.3
460.0,348.0,467.0
460.0,348.0,468.9
460.0,348.0,470.3
460.0,348.0,471.8
460.0,348.0,473.5
460.0,348.0,475.2
